,Date,Start,Maximum,End
90,2018/02/16,04:27,04:37,04:42
91,2018/02/16,20:57,21:12,21:19
92,2018/02/17,18:07,18:15,18:28
93,2018/02/26,11:58,12:02,12:04
94,2018/02/26,15:48,15:51,15:53
95,2018/02/28,06:04,06:55,07:30
96,2018/02/28,14:12,14:27,14:53
97,2018/02/28,15:23,15:27,15:30
98,2018/02/28,16:07,16:10,16:12
99,2018/03/01,22:03,22:07,22:13
100,2018/03/02,00:30,00:52,01:17
101,2018/03/02,05:14,05:27,05:34
102,2018/03/02,07:58,08:03,08:08
103,2018/03/02,10:56,11:07,11:13
104,2018/03/03,04:01,04:07,04:12
105,2018/03/04,02:55,03:01,03:07
106,2018/03/12,22:10,22:11,22:12
107,2018/03/25,12:00,12:01,12:02
108,2018/03/29,16:25,16:34,16:43
109,2018/03/30,02:56,03:00,03:02
110,2018/03/30,04:11,04:15,04:19
111,2018/03/30,05:07,05:15,05:21
112,2018/03/30,07:57,08:04,08:08
113,2018/03/30,11:13,11:17,11:20
114,2018/03/30,17:58,18:07,18:15
115,2018/03/31,01:44,01:48,01:55
116,2018/03/31,08:59,09:11,09:23
117,2018/03/31,16:16,16:20,16:25
118,2018/04/01,00:49,00:53,00:57
119,2018/04/01,12:51,13:08,13:19
120,2018/04/03,03:56,04:05,04:15
121,2018/04/03,14:13,14:17,14:32
122,2018/04/03,20:30,20:35,20:38
123,2018/04/06,19:29,19:30,19:31
124,2018/04/14,00:09,00:12,00:15
125,2018/04/14,19:10,19:19,19:30
126,2018/04/15,00:05,00:10,00:24
127,2018/04/15,12:37,12:40,12:43
128,2018/04/15,13:46,13:49,13:54
129,2018/04/18,12:50,13:04,13:50
130,2018/04/18,15:48,16:00,16:15
131,2018/04/18,18:20,18:28,18:35
132,2018/04/20,08:16,08:19,08:23
133,2018/04/20,09:39,09:42,09:47
134,2018/04/20,16:55,17:04,17:12
135,2018/04/20,22:12,22:19,22:25
136,2018/04/21,06:01,06:08,06:19
137,2018/04/21,10:45,10:51,10:58
138,2018/04/21,18:44,18:51,19:04
139,2018/04/21,20:55,20:58,21:00
140,2018/04/21,21:37,21:40,21:44
141,2018/04/23,18:40,18:43,18:45
142,2018/04/24,21:37,21:45,21:52
143,2018/04/28,20:26,20:32,20:46
144,2018/04/30,19:11,19:14,19:19
145,2018/05/01,21:08,21:15,21:25
146,2018/05/06,02:55,02:56,02:57
147,2018/05/10,03:28,03:29,03:30
148,2018/05/22,04:29,05:07,05:44
149,2018/05/22,14:47,14:59,15:19
150,2018/05/22,22:28,22:42,22:55
151,2018/05/23,02:49,02:56,03:09
152,2018/05/23,03:30,03:35,03:42
153,2018/05/23,03:58,04:14,04:23
154,2018/05/23,05:27,05:34,05:42
155,2018/05/23,06:00,06:04,06:12
156,2018/05/23,06:17,06:21,06:28
157,2018/05/23,07:51,08:18,08:24
158,2018/05/23,08:43,08:48,08:54
159,2018/05/23,08:55,09:01,09:08
160,2018/05/23,09:59,10:03,10:06
161,2018/05/23,11:08,11:12,11:15
162,2018/05/23,11:37,11:50,11:53
163,2018/05/23,13:01,13:05,13:09
164,2018/05/23,14:22,14:26,14:34
165,2018/05/23,16:38,16:41,16:43
166,2018/05/23,17:44,17:48,17:50
167,2018/05/23,17:53,17:56,17:58
168,2018/05/23,18:03,18:21,18:33
169,2018/05/23,19:39,19:42,19:44
170,2018/05/23,20:47,20:56,20:59
171,2018/05/23,21:05,21:17,21:21
172,2018/05/23,21:54,21:59,22:03
173,2018/05/24,02:58,03:20,03:39
174,2018/05/24,06:16,06:23,06:35
175,2018/05/24,11:16,11:20,11:38
176,2018/05/24,12:22,12:30,12:35
177,2018/05/24,15:28,15:32,15:36
178,2018/05/24,16:08,16:15,16:22
179,2018/05/24,17:34,17:37,17:44
180,2018/05/25,03:31,03:34,03:37
181,2018/05/25,14:04,14:42,14:52
182,2018/05/25,20:01,20:09,20:16
183,2018/05/25,23:32,23:35,23:38
184,2018/05/26,01:11,01:15,01:22
185,2018/05/26,04:18,04:22,04:26
186,2018/05/27,01:00,01:04,01:07
187,2018/05/27,09:39,09:44,09:48
188,2018/05/27,17:44,17:48,17:51
189,2018/05/27,18:49,18:52,18:56
190,2018/05/28,12:15,12:18,12:20
191,2018/05/28,13:42,13:47,13:51
192,2018/05/28,14:26,14:30,14:33
193,2018/05/28,15:02,15:07,15:11
194,2018/05/28,15:57,16:01,16:05
195,2018/05/28,16:29,16:36,16:39
196,2018/05/28,17:04,17:10,17:12
197,2018/05/28,18:43,18:57,19:04
198,2018/05/28,20:50,20:54,20:57
199,2018/05/29,00:36,00:40,00:47
200,2018/05/29,01:25,01:28,01:35
201,2018/05/29,16:18,16:21,16:28
202,2018/05/30,18:14,18:17,18:20
203,2018/05/30,19:04,19:08,19:11
204,2018/05/31,00:59,01:08,01:21
205,2018/05/31,03:41,04:34,04:46
206,2018/05/31,06:52,06:58,07:05
207,2018/05/31,08:41,08:45,08:48
208,2018/05/31,10:40,10:58,11:07
209,2018/05/31,13:21,14:22,15:14
210,2018/05/31,16:04,16:13,16:17
211,2018/05/31,21:02,21:09,21:13
212,2018/05/31,21:33,21:43,21:47
213,2018/05/31,22:56,23:02,23:07
214,2018/06/01,04:57,05:04,05:09
215,2018/06/01,06:05,06:10,06:16
216,2018/06/01,07:53,07:56,08:01
217,2018/06/06,10:44,11:00,11:06
218,2018/06/06,11:39,11:43,11:46
219,2018/06/16,05:16,05:20,05:23
220,2018/06/19,02:23,02:26,02:28
221,2018/06/20,00:00,00:06,00:11
222,2018/06/20,03:56,04:25,04:33
223,2018/06/20,11:57,12:02,12:05
224,2018/06/20,19:28,19:35,19:39
225,2018/06/20,22:58,23:03,23:07
226,2018/06/25,02:31,02:35,02:38
227,2018/07/06,19:41,20:07,20:42
228,2018/07/07,04:47,04:51,05:00
229,2018/07/07,11:59,12:04,12:12
230,2018/07/07,21:25,21:28,21:30
231,2018/07/07,21:31,21:35,21:42
232,2018/07/08,02:46,02:49,02:51
233,2018/07/15,08:39,08:47,08:54
234,2018/07/15,10:58,11:04,11:15
235,2018/07/28,13:21,13:40,13:52
236,2018/07/29,21:45,21:48,21:53
237,2018/08/03,15:45,15:46,15:47
238,2018/08/10,16:00,16:01,16:02
239,2018/08/14,05:00,05:01,05:02
240,2018/08/14,12:36,12:43,12:54
241,2018/08/16,09:12,09:18,09:23
242,2018/08/23,20:23,20:38,20:46
243,2018/08/24,12:47,12:50,12:57
244,2018/08/24,21:54,21:58,22:01
245,2018/08/25,02:00,02:05,02:09
246,2018/08/25,03:04,03:09,03:12
247,2018/08/25,03:23,03:32,03:34
248,2018/08/25,05:21,05:25,05:29
249,2018/08/25,07:01,07:04,07:06
250,2018/08/25,07:36,07:40,07:54
251,2018/08/25,08:02,08:13,08:30
252,2018/08/25,10:35,10:48,11:01
253,2018/08/25,18:29,18:33,18:37
254,2018/08/25,21:24,21:28,21:30
255,2018/09/06,08:01,08:01,08:01
256,2018/09/10,12:50,12:53,12:55
257,2018/09/11,07:56,07:59,08:01
258,2018/09/13,17:56,17:58,18:02
259,2018/09/16,04:34,04:35,04:36
260,2018/10/02,04:41,04:45,04:48
261,2018/10/10,05:04,05:08,05:09
262,2018/10/10,08:15,08:22,08:31
263,2018/10/12,01:43,01:50,01:56
264,2018/10/12,14:04,14:08,14:13
265,2018/10/13,13:28,13:34,13:42
266,2018/10/29,18:28,18:29,18:30
267,2018/11/06,18:27,18:30,18:31
268,2018/11/08,10:11,10:12,10:14
269,2018/11/10,11:41,11:43,11:44
270,2018/11/17,10:53,10:57,10:58
271,2018/11/24,02:10,02:13,02:15
272,2018/11/26,12:10,12:11,12:12
273,2018/12/03,12:27,12:28,12:29
274,2018/12/05,02:31,02:36,02:39
275,2018/12/05,20:19,20:25,20:33
276,2018/12/05,20:38,20:41,20:45
277,2018/12/07,19:51,19:55,20:02
278,2018/12/09,07:05,07:10,07:16
279,2018/12/09,14:49,14:53,14:56
280,2018/12/09,14:48,15:02,15:07
281,2018/12/09,20:35,20:39,20:44
282,2018/12/11,08:54,09:00,09:04
283,2018/12/15,13:49,13:53,13:58
284,2018/12/20,00:01,00:12,00:21
285,2018/12/26,09:44,09:46,09:48
286,2018/12/29,13:16,13:17,13:18
