,Date,Start,Maximum,End
0,2018/01/07,04:24,04:33,04:38
1,2018/01/12,13:08,13:09,13:10
2,2018/01/18,07:28,07:35,07:39
3,2018/01/18,08:08,08:13,08:16
4,2018/01/18,09:51,09:57,10:06
5,2018/01/20,04:48,04:55,05:00
6,2018/01/20,17:42,17:52,17:58
7,2018/01/22,02:37,02:57,03:20
8,2018/01/30,17:35,17:39,17:46
9,2018/02/04,19:06,19:22,19:27
10,2018/02/04,19:46,19:51,19:55
11,2018/02/04,20:18,20:24,20:30
12,2018/02/04,20:46,20:59,21:07
13,2018/02/04,21:10,21:15,21:18
14,2018/02/04,22:28,22:45,22:52
15,2018/02/04,23:20,23:25,23:29
16,2018/02/05,01:17,01:20,01:29
17,2018/02/05,05:38,05:41,05:45
18,2018/02/05,08:09,08:22,08:27
19,2018/02/05,10:37,10:43,10:50
20,2018/02/05,11:27,11:38,11:44
21,2018/02/05,15:22,15:25,15:27
22,2018/02/05,15:45,15:53,16:05
23,2018/02/05,18:18,18:24,18:26
24,2018/02/05,19:06,19:09,19:11
25,2018/02/05,19:23,19:26,19:28
26,2018/02/05,20:32,20:38,20:41
27,2018/02/05,21:36,21:49,21:53
28,2018/02/05,22:16,22:21,22:27
29,2018/02/06,00:38,00:42,00:45
30,2018/02/06,01:06,01:10,01:15
31,2018/02/06,02:54,03:00,03:02
32,2018/02/06,05:19,05:28,05:43
33,2018/02/06,06:20,06:27,06:34
34,2018/02/06,09:08,09:14,09:18
35,2018/02/06,10:54,11:06,11:17
36,2018/02/06,14:14,14:26,14:48
37,2018/02/06,17:44,17:49,17:54
38,2018/02/06,18:45,18:58,19:44
39,2018/02/07,00:19,00:38,00:46
40,2018/02/07,07:29,07:32,07:36
41,2018/02/07,13:31,13:47,13:54
42,2018/02/07,14:35,14:39,14:44
43,2018/02/07,18:01,18:05,18:11
44,2018/02/07,23:32,23:35,23:37
45,2018/02/08,15:20,15:30,15:35
46,2018/02/08,16:51,16:59,17:21
47,2018/02/08,18:39,18:45,18:50
48,2018/02/08,19:43,19:55,20:01
49,2018/02/08,20:25,20:34,20:41
50,2018/02/08,21:10,21:14,21:17
51,2018/02/08,21:22,21:39,21:45
52,2018/02/09,03:43,03:48,03:54
53,2018/02/09,06:31,06:36,06:39
54,2018/02/09,08:27,08:31,08:35
55,2018/02/09,12:43,12:47,12:52
56,2018/02/09,14:51,14:56,15:01
57,2018/02/09,15:40,15:47,15:52
58,2018/02/09,16:38,16:43,16:54
59,2018/02/09,17:45,17:49,17:55
60,2018/02/09,18:12,18:19,18:29
61,2018/02/10,13:02,13:21,13:36
62,2018/02/10,16:31,16:43,16:51
63,2018/02/10,18:09,18:14,18:17
64,2018/02/10,20:34,20:40,20:47
65,2018/02/10,21:35,21:48,21:56
66,2018/02/11,01:04,01:09,01:11
67,2018/02/11,04:52,04:55,04:58
68,2018/02/11,05:29,05:35,05:40
69,2018/02/11,08:19,08:24,08:27
70,2018/02/11,09:00,09:07,09:14
71,2018/02/11,09:50,10:03,10:14
72,2018/02/11,11:37,11:41,11:44
73,2018/02/11,13:23,13:29,13:45
74,2018/02/11,13:53,13:57,14:10
75,2018/02/11,14:10,14:29,14:43
76,2018/02/11,16:13,16:18,16:20
77,2018/02/11,21:29,21:36,21:39
78,2018/02/11,21:43,21:47,21:49
79,2018/02/11,22:34,22:37,22:39
80,2018/02/11,23:10,23:13,23:16
81,2018/02/14,08:22,08:25,08:27
82,2018/02/14,14:43,14:47,14:50
83,2018/02/14,15:54,16:08,16:20
84,2018/02/14,23:35,23:39,23:41
85,2018/02/15,00:47,00:51,00:53
86,2018/02/15,03:11,03:14,03:16
87,2018/02/15,06:23,06:26,06:28
88,2018/02/15,22:19,22:23,22:26
89,2018/02/15,23:50,23:55,23:58
